network_name,run_date,procedure_code,provider_type,care_setting,service_label,service_category,p50,p10,p25,p75,p90,pmin,pmax,pmean,psd,n_prices,n_groups,cv,hilo,p9010,p7525
Blue Premier,2026-05-30,99202,institutional,outpatient,Office visit new pt 15-29min,E&M outpatient,56.57,25.77,26.8,110.3,155.65,21.13,357.17,77.91286516853938,62.67432106631041,178,287,.80441558,16.903456,6.039969,4.1156716
MyBlue Health HMO,2026-05-30,99202,institutional,outpatient,Office visit new pt 15-29min,E&M outpatient,51.54,25.77,31.95,69.98999999999999,98.95999999999999,25.66,183.69,54.61515463917532,32.07907285538248,194,707,.58736581,7.1586127,3.8401241,2.1906104
ParPlan,2026-05-30,99202,institutional,outpatient,Office visit new pt 15-29min,E&M outpatient,76.98,25.77,36.09,161.32,255.12,15.57,423.25,112.9048894348895,95.85760773416629,407,822,.84901202,27.183687,9.8998833,4.4699364
Blue Advantage HMO,2026-05-30,99202,professional,outpatient,Office visit new pt 15-29min,E&M outpatient,43.12,30.39,35.53,55.19,65.19,24.91,408.01,47.97231748878895,21.12213754705063,5575,95614,.44029847,16.379366,2.1451135,1.5533352
Blue Choice PPO,2026-05-30,99202,professional,outpatient,Office visit new pt 15-29min,E&M outpatient,50.05,35.39,39.4,64.23999999999999,75.83,25.14,440.79,56.55087815587311,30.59938955907303,5466,119732,.54109484,17.533413,2.1426957,1.6304568
Blue Choice PPO common,2026-05-30,99202,professional,outpatient,Office visit new pt 15-29min,E&M outpatient,50.065,35.39,39.4,64.23999999999999,75.83,25.14,440.79,56.55275704354235,30.59965503501475,5466,119411,.54108161,17.533413,2.1426957,1.6304568
Blue Choice PPO group 039993,2026-05-30,99202,professional,outpatient,Office visit new pt 15-29min,E&M outpatient,50.825,35.59,40.86,63.045,72.62,27.17,86.64,52.10000000000002,14.36349719298553,32,36,.27569091,3.1888113,2.0404608,1.5429516
Blue Essentials,2026-05-30,99202,professional,outpatient,Office visit new pt 15-29min,E&M outpatient,49.62,34.63,39.38,62.57,73.22,25.14,440.79,55.60350353796144,30.82826439331386,5229,101932,.55443025,17.533413,2.1143517,1.5888776
Blue Essentials common,2026-05-30,99202,professional,outpatient,Office visit new pt 15-29min,E&M outpatient,49.62,34.63,39.38,62.57,73.22,25.14,440.79,55.59484377995025,30.85687377464684,5217,101693,.55503124,17.533413,2.1143517,1.5888776
Blue Essentials group 295430,2026-05-30,99202,professional,outpatient,Office visit new pt 15-29min,E&M outpatient,52.77,37.88,40.56,62.57,68.75,34.2,113.83,53.02051546391751,14.05479969701439,97,247,.2650823,3.3283625,1.8149419,1.5426528
Blue Essentials group 295781,2026-05-30,99202,professional,outpatient,Office visit new pt 15-29min,E&M outpatient,52.77,37.88,40.56,62.57,68.75,34.2,113.83,53.02051546391753,14.05479969701439,97,247,.2650823,3.3283625,1.8149419,1.5426528
Blue Premier,2026-05-30,99202,professional,outpatient,Office visit new pt 15-29min,E&M outpatient,46.98,32.16,38.04,58.69,72.48999999999999,25.14,440.79,54.71609475465294,35.14813401337296,2955,54604,.64237285,17.533413,2.2540424,1.5428497
MyBlue Health HMO,2026-05-30,99202,professional,outpatient,Office visit new pt 15-29min,E&M outpatient,42.25,28.45,33.96,52.4,63.76,24.91,408.01,46.72636684303328,22.58845136338342,2835,50320,.48341981,16.379366,2.2411249,1.5429918
ParPlan,2026-05-30,99202,professional,outpatient,Office visit new pt 15-29min,E&M outpatient,49.62,32.33,38.5,62.88,71.02,25.14,440.79,54.69584778669486,27.1079450212025,3863,95016,.49561247,17.533413,2.1967213,1.6332468
Blue Advantage HMO,2026-05-30,99203,institutional,outpatient,Office visit new pt 30-44min,E&M outpatient,93.52000000000001,77.48,85.23,186.73,240.19,48.81,553.22,140.3408290155443,82.52672461811423,386,1003,.588045,11.334153,3.1000259,2.1908953
Blue Choice PPO,2026-05-30,99203,institutional,outpatient,Office visit new pt 30-44min,E&M outpatient,169.295,84.11,91.69,267.31,397.19,67.41,602.79,199.2551184834127,123.9269136150695,422,898,.62195098,8.9421453,4.7222686,2.9153669
Blue Choice PPO common,2026-05-30,99203,institutional,outpatient,Office visit new pt 30-44min,E&M outpatient,146.655,84.11,91.69,249.765,360.28,67.41,602.79,188.398776041667,118.1002286497117,384,829,.62686306,8.9421453,4.2834382,2.7240157
Blue Choice PPO group 039993,2026-05-30,99203,institutional,outpatient,Office visit new pt 30-44min,E&M outpatient,325.42,120.87,230.12,417.62,502.07,97.62,502.07,313.6470270270271,128.0447788832065,37,59,.40824485,5.143106,4.1538014,1.8147923
Blue Essentials,2026-05-30,99203,institutional,outpatient,Office visit new pt 30-44min,E&M outpatient,186.04,83.92,90.785,268.86,375.78,63.53,570.3200000000001,200.105172413793,115.1577310993867,348,446,.575486,8.9771757,4.4778361,2.9615026
Blue Essentials common,2026-05-30,99203,institutional,outpatient,Office visit new pt 30-44min,E&M outpatient,186.04,83.92,90.785,268.86,375.78,63.53,570.3200000000001,200.105172413793,115.1577310993867,348,446,.575486,8.9771757,4.4778361,2.9615026
Blue Premier,2026-05-30,99203,institutional,outpatient,Office visit new pt 30-44min,E&M outpatient,117.77,77.48,84.11,206.1,300.62,68.18000000000001,536.9400000000001,156.5648695652174,95.61572435797568,115,148,.61070997,7.87533,3.8799691,2.4503627
MyBlue Health HMO,2026-05-30,99203,institutional,outpatient,Office visit new pt 30-44min,E&M outpatient,85.23,69.73,77.48,126.37,192.15,48.04,276.14,111.8275510204081,48.80803525323342,98,143,.43645805,5.7481265,2.7556288,1.6310016
ParPlan,2026-05-30,99203,institutional,outpatient,Office visit new pt 30-44min,E&M outpatient,136.29,84.11,91.69,249.355,387.4,73.05,636.27,195.1402528089889,136.5863702795163,356,622,.69993949,8.710062,4.6058731,2.7195442
Blue Advantage HMO,2026-05-30,99203,professional,outpatient,Office visit new pt 30-44min,E&M outpatient,72.54000000000001,51.89,61.05,86.09999999999999,101.71,43.59,631.93,76.96474936891411,30.42718898963464,5546,96014,.39533928,14.497132,1.9601079,1.4103194
Blue Choice PPO,2026-05-30,99203,professional,outpatient,Office visit new pt 30-44min,E&M outpatient,83.01000000000001,60.53,67.37,98.77,116.03,44,682.72,89.55693579595359,42.45232644328397,5685,121373,.47402611,15.516364,1.9169008,1.4660828
Blue Choice PPO common,2026-05-30,99203,professional,outpatient,Office visit new pt 30-44min,E&M outpatient,83.01000000000001,60.53,67.37,98.77,116.03,44,682.72,89.55828933474062,42.46268503579671,5682,121117,.47413462,15.516364,1.9169008,1.4660828
